id	linkkey	aidkey	bidkey	decision
3814	99-71-14-000519_99-69-14-000613	99-71-14-000519	99-69-14-000613	confirm
3815	99-71-14-000747_99-67-14-000571	99-71-14-000747	99-67-14-000571	confirm
3816	99-71-14-000767_99-69-14-000784	99-71-14-000767	99-69-14-000784	confirm
3817	99-71-14-000781_99-69-14-000794	99-71-14-000781	99-69-14-000794	confirm
3818	99-71-14-000783_99-69-14-000796	99-71-14-000783	99-69-14-000796	confirm
3819	99-71-14-000886_99-67-14-000794	99-71-14-000886	99-67-14-000794	confirm
3820	99-71-14-000887_99-67-14-000795	99-71-14-000887	99-67-14-000795	confirm
3821	99-71-14-000893_99-67-14-000802	99-71-14-000893	99-67-14-000802	confirm
3822	99-71-14-000959_99-69-10-000074	99-71-14-000959	99-69-10-000074	confirm
3823	99-71-14-001039_99-67-14-001094	99-71-14-001039	99-67-14-001094	confirm
3824	99-71-14-001119_99-67-14-001188	99-71-14-001119	99-67-14-001188	confirm
3825	99-71-14-001149_99-69-14-001183	99-71-14-001149	99-69-14-001183	confirm
3826	99-71-14-001158_99-69-14-001194	99-71-14-001158	99-69-14-001194	confirm
3827	99-71-15-000052_99-69-15-000055	99-71-15-000052	99-69-15-000055	confirm
3828	99-71-15-000278_99-69-15-000146	99-71-15-000278	99-69-15-000146	confirm
3829	99-71-17-000151_99-69-17-000535	99-71-17-000151	99-69-17-000535	confirm
3830	99-71-17-000152_99-69-17-000536	99-71-17-000152	99-69-17-000536	confirm
3831	99-71-17-000153_99-69-17-000538	99-71-17-000153	99-69-17-000538	confirm
3832	99-71-17-000156_99-67-17-000302	99-71-17-000156	99-67-17-000302	confirm
3833	99-71-17-000165_99-67-28-005952	99-71-17-000165	99-67-28-005952	confirm
3834	99-71-17-000177_99-67-17-000334	99-71-17-000177	99-67-17-000334	confirm
3835	99-71-17-000183_99-67-17-000343	99-71-17-000183	99-67-17-000343	confirm
3836	99-71-17-000192_99-67-17-000353	99-71-17-000192	99-67-17-000353	confirm
3837	99-71-17-000194_99-67-17-000356	99-71-17-000194	99-67-17-000356	confirm
3838	99-71-17-000335_99-67-17-000360	99-71-17-000335	99-67-17-000360	confirm
3839	99-71-17-000338_99-67-17-000363	99-71-17-000338	99-67-17-000363	confirm
3840	99-71-17-000350_99-69-17-000957	99-71-17-000350	99-69-17-000957	confirm
3841	99-71-17-000362_99-69-17-000652	99-71-17-000362	99-69-17-000652	confirm
3842	99-71-17-000379_99-69-17-000678	99-71-17-000379	99-69-17-000678	confirm
3843	99-71-17-000381_99-69-28-006207	99-71-17-000381	99-69-28-006207	confirm
