id	linkkey	aidkey	bidkey	decision
1	65-40-01-000003_99-40-10-000619	65-40-01-000003	99-40-10-000619	confirm
2	65-40-01-000055_99-40-10-000260	65-40-01-000055	99-40-10-000260	reject
3	99-41-32-000004_99-40-10-002778	99-41-32-000004	99-40-10-002778	confirm
4	99-42-14-000002_99-41-14-000002	99-42-14-000002	99-41-14-000002	confirm
5	99-42-10-000002_99-41-10-000002	99-42-10-000002	99-41-10-000002	confirm
6	99-42-10-000004_99-41-10-000004	99-42-10-000004	99-41-10-000004	confirm
7	99-42-28-000011_99-41-28-000010	99-42-28-000011	99-41-28-000010	confirm
8	99-73-27-000001_99-71-27-000001	99-73-27-000001	99-71-27-000001	confirm
9	65-40-01-000090_99-40-10-000119	65-40-01-000090	99-40-10-000119	confirm
10	99-73-08-000001_99-71-07-000003	99-73-08-000001	99-71-07-000003	confirm
11	99-73-07-000002_99-71-10-001248	99-73-07-000002	99-71-10-001248	confirm
12	99-73-08-000002_99-71-10-000879	99-73-08-000002	99-71-10-000879	confirm
13	99-73-01-000002_99-71-10-001520	99-73-01-000002	99-71-10-001520	confirm
14	99-73-07-000003_99-71-10-000879	99-73-07-000003	99-71-10-000879	confirm
15	99-73-08-000004_99-71-10-001443	99-73-08-000004	99-71-10-001443	confirm
16	99-73-07-000004_99-71-10-001366	99-73-07-000004	99-71-10-001366	confirm
17	99-73-04-000004_99-71-01-000656	99-73-04-000004	99-71-01-000656	confirm
18	99-73-08-000005_99-71-01-000007	99-73-08-000005	99-71-01-000007	confirm
19	99-73-07-000006_99-71-01-000007	99-73-07-000006	99-71-01-000007	confirm
20	99-73-04-000006_99-71-07-000092	99-73-04-000006	99-71-07-000092	confirm
21	99-73-04-000007_99-71-04-000010	99-73-04-000007	99-71-04-000010	confirm
22	99-73-04-000008_99-71-01-001297	99-73-04-000008	99-71-01-001297	confirm
23	99-73-01-000008_99-71-10-001002	99-73-01-000008	99-71-10-001002	confirm
24	99-73-04-000010_99-71-01-001727	99-73-04-000010	99-71-01-001727	confirm
25	99-73-15-000011_99-71-01-000359	99-73-15-000011	99-71-01-000359	confirm
26	99-73-15-000012_99-71-01-000365	99-73-15-000012	99-71-01-000365	confirm
27	99-73-13-000013_99-71-13-000013	99-73-13-000013	99-71-13-000013	confirm
28	99-73-04-000014_99-71-01-001498	99-73-04-000014	99-71-01-001498	confirm
29	99-73-01-000015_99-71-10-005521	99-73-01-000015	99-71-10-005521	confirm
30	99-73-04-000017_99-71-04-000022	99-73-04-000017	99-71-04-000022	confirm
31	99-73-04-000019_99-71-04-000024	99-73-04-000019	99-71-04-000024	confirm
32	99-73-04-000020_99-71-04-000025	99-73-04-000020	99-71-04-000025	confirm
33	99-73-07-000022_99-71-07-000024	99-73-07-000022	99-71-07-000024	confirm
34	99-73-07-000023_99-71-07-000026	99-73-07-000023	99-71-07-000026	confirm
35	99-73-27-000026_99-71-10-004272	99-73-27-000026	99-71-10-004272	confirm
36	99-73-07-000026_99-71-07-000030	99-73-07-000026	99-71-07-000030	confirm
37	99-73-10-000027_99-71-28-004795	99-73-10-000027	99-71-28-004795	confirm
38	99-73-07-000028_99-71-07-000032	99-73-07-000028	99-71-07-000032	confirm
39	99-73-10-000029_99-71-28-008550	99-73-10-000029	99-71-28-008550	confirm
40	99-73-10-000031_99-71-10-000032	99-73-10-000031	99-71-10-000032	confirm
41	99-73-01-000032_99-71-10-003636	99-73-01-000032	99-71-10-003636	confirm
42	99-73-13-000032_99-71-13-000032	99-73-13-000032	99-71-13-000032	confirm
43	99-73-15-000039_99-71-15-000040	99-73-15-000039	99-71-15-000040	confirm
44	99-73-10-000041_99-71-10-000044	99-73-10-000041	99-71-10-000044	confirm
45	99-73-27-000041_99-71-27-000035	99-73-27-000041	99-71-27-000035	confirm
46	99-73-07-000041_99-71-07-000043	99-73-07-000041	99-71-07-000043	confirm
47	99-73-13-000047_99-71-10-003405	99-73-13-000047	99-71-10-003405	confirm
48	99-73-10-000053_99-71-10-000057	99-73-10-000053	99-71-10-000057	confirm
49	99-73-04-000053_99-71-04-000060	99-73-04-000053	99-71-04-000060	confirm
50	99-73-13-000054_99-71-10-005912	99-73-13-000054	99-71-10-005912	confirm
51	99-73-04-000054_99-71-04-000061	99-73-04-000054	99-71-04-000061	confirm
52	99-73-04-000055_99-71-04-000062	99-73-04-000055	99-71-04-000062	confirm
53	99-73-10-000055_99-71-10-000058	99-73-10-000055	99-71-10-000058	confirm
54	99-73-04-000064_99-71-01-000708	99-73-04-000064	99-71-01-000708	confirm
56	99-73-10-000065_99-71-28-008439	99-73-10-000065	99-71-28-008439	confirm
57	99-73-04-000065_99-71-28-003821	99-73-04-000065	99-71-28-003821	confirm
58	99-73-04-000068_99-71-28-010716	99-73-04-000068	99-71-28-010716	confirm
59	99-73-04-000069_99-71-04-000076	99-73-04-000069	99-71-04-000076	confirm
60	99-73-04-000070_99-71-04-000080	99-73-04-000070	99-71-04-000080	confirm
61	99-73-04-000071_99-71-10-001940	99-73-04-000071	99-71-10-001940	confirm
62	99-73-04-000072_99-71-10-002104	99-73-04-000072	99-71-10-002104	confirm
63	99-73-04-000073_99-71-10-002338	99-73-04-000073	99-71-10-002338	confirm
64	99-73-10-000074_99-71-10-000074	99-73-10-000074	99-71-10-000074	confirm
65	99-73-04-000074_99-71-04-000081	99-73-04-000074	99-71-04-000081	confirm
66	99-73-13-000089_99-71-10-005726	99-73-13-000089	99-71-10-005726	confirm
67	99-73-13-000090_99-71-10-000002	99-73-13-000090	99-71-10-000002	confirm
68	99-73-04-000093_99-71-10-002657	99-73-04-000093	99-71-10-002657	confirm
69	99-73-13-000094_99-71-10-000118	99-73-13-000094	99-71-10-000118	confirm
70	99-73-01-000095_99-71-01-000102	99-73-01-000095	99-71-01-000102	confirm
71	99-73-04-000095_99-71-01-001146	99-73-04-000095	99-71-01-001146	confirm
72	99-73-13-000096_99-71-27-000439	99-73-13-000096	99-71-27-000439	confirm
73	99-73-04-000100_99-71-28-006643	99-73-04-000100	99-71-28-006643	confirm
74	99-73-01-000100_99-71-01-000108	99-73-01-000100	99-71-01-000108	confirm
75	99-73-13-000102_99-71-10-004627	99-73-13-000102	99-71-10-004627	confirm
76	99-73-13-000104_99-71-13-000100	99-73-13-000104	99-71-13-000100	confirm
77	99-73-01-000105_99-71-10-001891	99-73-01-000105	99-71-10-001891	confirm
78	99-73-04-000107_99-71-10-005960	99-73-04-000107	99-71-10-005960	confirm
79	99-73-13-000111_99-71-01-000717	99-73-13-000111	99-71-01-000717	confirm
80	99-73-01-000114_99-71-01-000095	99-73-01-000114	99-71-01-000095	confirm
81	99-73-13-000114_99-71-28-006336	99-73-13-000114	99-71-28-006336	confirm
82	99-73-13-000115_99-71-13-000111	99-73-13-000115	99-71-13-000111	confirm
83	99-73-27-000116_99-71-27-000126	99-73-27-000116	99-71-27-000126	confirm
84	99-73-07-000122_99-71-07-000122	99-73-07-000122	99-71-07-000122	confirm
85	99-73-27-000126_99-71-27-000138	99-73-27-000126	99-71-27-000138	confirm
86	99-73-15-000128_99-71-15-000130	99-73-15-000128	99-71-15-000130	confirm
87	99-73-13-000135_99-71-13-000130	99-73-13-000135	99-71-13-000130	confirm
88	99-73-13-000137_99-71-28-009090	99-73-13-000137	99-71-28-009090	confirm
89	99-73-01-000147_99-71-10-000916	99-73-01-000147	99-71-10-000916	confirm
90	99-73-17-000149_99-71-17-000410	99-73-17-000149	99-71-17-000410	confirm
91	99-73-13-000150_99-71-13-000144	99-73-13-000150	99-71-13-000144	confirm
92	99-73-13-000153_99-71-28-005869	99-73-13-000153	99-71-28-005869	confirm
93	99-73-13-000155_99-71-28-007133	99-73-13-000155	99-71-28-007133	confirm
94	99-73-13-000160_99-71-10-001520	99-73-13-000160	99-71-10-001520	confirm
95	99-73-13-000162_99-71-13-000157	99-73-13-000162	99-71-13-000157	confirm
96	99-73-13-000164_99-71-13-000159	99-73-13-000164	99-71-13-000159	confirm
97	99-73-10-000169_99-71-10-000171	99-73-10-000169	99-71-10-000171	confirm
98	99-73-10-000186_99-71-10-000171	99-73-10-000186	99-71-10-000171	confirm
99	99-73-10-000187_99-71-10-000190	99-73-10-000187	99-71-10-000190	confirm
100	99-73-15-000195_99-71-15-000199	99-73-15-000195	99-71-15-000199	confirm
101	99-73-10-000261_99-71-01-000007	99-73-10-000261	99-71-01-000007	confirm
102	99-73-15-000281_99-71-15-000284	99-73-15-000281	99-71-15-000284	confirm
103	99-73-15-000282_99-71-15-000285	99-73-15-000282	99-71-15-000285	confirm
104	99-73-28-000292_99-71-10-000675	99-73-28-000292	99-71-10-000675	confirm
105	99-73-15-000298_99-71-28-000031	99-73-15-000298	99-71-28-000031	confirm
106	99-73-15-000299_99-71-15-000388	99-73-15-000299	99-71-15-000388	confirm
107	99-73-01-000304_99-71-10-000638	99-73-01-000304	99-71-10-000638	confirm
108	99-73-15-000345_99-71-15-000009	99-73-15-000345	99-71-15-000009	confirm
109	99-73-15-000346_99-71-15-000010	99-73-15-000346	99-71-15-000010	confirm
110	99-73-15-000348_99-71-01-000363	99-73-15-000348	99-71-01-000363	confirm
111	99-73-10-000352_99-71-28-004460	99-73-10-000352	99-71-28-004460	confirm
112	99-73-15-000358_99-71-01-001469	99-73-15-000358	99-71-01-001469	confirm
113	99-73-15-000360_99-71-01-001476	99-73-15-000360	99-71-01-001476	confirm
114	99-73-27-000368_99-71-27-000767	99-73-27-000368	99-71-27-000767	confirm
115	99-73-01-000380_99-71-04-000058	99-73-01-000380	99-71-04-000058	confirm
116	99-73-10-000392_99-71-10-000394	99-73-10-000392	99-71-10-000394	confirm
117	99-73-14-000430_99-71-14-000706	99-73-14-000430	99-71-14-000706	confirm
118	99-73-01-000435_99-71-27-000470	99-73-01-000435	99-71-27-000470	confirm
119	99-73-17-000465_99-71-17-000733	99-73-17-000465	99-71-17-000733	confirm
120	99-73-17-000467_99-71-17-000735	99-73-17-000467	99-71-17-000735	confirm
121	99-73-17-000468_99-71-17-000736	99-73-17-000468	99-71-17-000736	confirm
122	99-73-17-000469_99-71-17-000737	99-73-17-000469	99-71-17-000737	confirm
123	99-73-17-000470_99-71-17-000738	99-73-17-000470	99-71-17-000738	confirm
124	99-73-14-000498_99-71-14-000751	99-73-14-000498	99-71-14-000751	confirm
125	99-73-28-000501_99-71-01-000599	99-73-28-000501	99-71-01-000599	confirm
126	99-73-10-000504_99-71-28-002240	99-73-10-000504	99-71-28-002240	confirm
127	99-73-17-000507_99-71-17-000763	99-73-17-000507	99-71-17-000763	confirm
128	99-73-17-000508_99-71-17-000771	99-73-17-000508	99-71-17-000771	confirm
129	99-73-17-000510_99-71-17-000756	99-73-17-000510	99-71-17-000756	confirm
130	65-65-01-000365_99-65-10-010410	65-65-01-000365	99-65-10-010410	reject
131	99-56-10-000026_99-55-10-000025	99-56-10-000026	99-55-10-000025	confirm
132	99-56-01-000010_99-55-01-000011	99-56-01-000010	99-55-01-000011	confirm
133	99-56-01-000105_99-55-10-000157	99-56-01-000105	99-55-10-000157	confirm
134	99-56-01-000106_99-55-10-000025	99-56-01-000106	99-55-10-000025	confirm
135	99-56-01-000124_99-55-10-000483	99-56-01-000124	99-55-10-000483	confirm
136	65-55-01-000159_99-55-10-006688	65-55-01-000159	99-55-10-006688	reject
137	99-56-01-000177_99-55-01-000189	99-56-01-000177	99-55-01-000189	confirm
138	99-56-01-000225_99-55-01-000238	99-56-01-000225	99-55-01-000238	confirm
139	99-56-01-000302_99-55-28-003426	99-56-01-000302	99-55-28-003426	confirm
140	99-56-01-000325_99-55-28-001858	99-56-01-000325	99-55-28-001858	confirm
141	99-56-01-000326_99-55-01-000338	99-56-01-000326	99-55-01-000338	confirm
142	99-56-01-000339_99-55-28-002393	99-56-01-000339	99-55-28-002393	confirm
143	99-56-01-000349_99-55-01-000489	99-56-01-000349	99-55-01-000489	confirm
144	99-56-01-000363_99-55-01-000456	99-56-01-000363	99-55-01-000456	confirm
145	99-56-01-000364_99-55-10-008507	99-56-01-000364	99-55-10-008507	confirm
146	99-56-01-000388_99-55-01-000357	99-56-01-000388	99-55-01-000357	confirm
147	99-56-01-000394_99-55-01-000360	99-56-01-000394	99-55-01-000360	confirm
148	99-56-01-000397_99-55-01-000361	99-56-01-000397	99-55-01-000361	confirm
149	99-56-01-000432_99-55-01-000420	99-56-01-000432	99-55-01-000420	confirm
150	99-56-01-000448_99-55-28-001998	99-56-01-000448	99-55-28-001998	confirm
151	99-56-01-000450_99-55-28-002563	99-56-01-000450	99-55-28-002563	confirm
152	99-56-01-000469_99-55-14-000515	99-56-01-000469	99-55-14-000515	confirm
153	99-56-01-000518_99-55-28-003454	99-56-01-000518	99-55-28-003454	confirm
154	99-56-01-000546_99-55-15-000012	99-56-01-000546	99-55-15-000012	confirm
155	99-56-01-000605_99-55-15-000014	99-56-01-000605	99-55-15-000014	confirm
156	99-56-01-000606_99-55-15-000016	99-56-01-000606	99-55-15-000016	confirm
157	99-56-01-000624_99-55-10-005267	99-56-01-000624	99-55-10-005267	confirm
158	99-56-01-000625_99-55-01-000678	99-56-01-000625	99-55-01-000678	confirm
159	99-56-01-000998_99-55-35-000053	99-56-01-000998	99-55-35-000053	confirm
160	99-56-01-001045_99-55-22-000002	99-56-01-001045	99-55-22-000002	confirm
161	99-56-01-001097_99-55-10-001266	99-56-01-001097	99-55-10-001266	confirm
162	99-56-01-001177_99-55-14-000051	99-56-01-001177	99-55-14-000051	confirm
163	99-56-01-001272_99-55-10-003084	99-56-01-001272	99-55-10-003084	confirm
164	99-56-01-001290_99-55-10-001495	99-56-01-001290	99-55-10-001495	confirm
165	99-56-01-001321_99-55-01-001296	99-56-01-001321	99-55-01-001296	confirm
166	99-56-01-001329_99-55-01-001307	99-56-01-001329	99-55-01-001307	confirm
167	99-56-01-001448_99-55-10-007486	99-56-01-001448	99-55-10-007486	confirm
168	99-56-01-001495_99-55-10-002788	99-56-01-001495	99-55-10-002788	confirm
169	99-56-01-001576_99-55-01-001694	99-56-01-001576	99-55-01-001694	confirm
170	99-56-01-001642_99-55-01-001769	99-56-01-001642	99-55-01-001769	confirm
171	99-56-01-001742_99-55-10-008583	99-56-01-001742	99-55-10-008583	confirm
172	99-56-01-001827_99-55-01-001957	99-56-01-001827	99-55-01-001957	confirm
173	99-56-01-001846_99-55-10-001311	99-56-01-001846	99-55-10-001311	confirm
174	99-56-01-001849_99-55-10-003361	99-56-01-001849	99-55-10-003361	confirm
175	99-56-01-001948_99-55-10-004270	99-56-01-001948	99-55-10-004270	confirm
176	99-56-10-000013_99-55-10-000018	99-56-10-000013	99-55-10-000018	confirm
177	99-56-10-000054_99-55-10-000056	99-56-10-000054	99-55-10-000056	confirm
178	99-56-10-000062_99-55-10-000066	99-56-10-000062	99-55-10-000066	confirm
179	99-56-10-000068_99-55-10-000075	99-56-10-000068	99-55-10-000075	confirm
180	99-56-10-000255_99-55-10-000256	99-56-10-000255	99-55-10-000256	confirm
181	99-56-10-000296_99-55-10-000293	99-56-10-000296	99-55-10-000293	confirm
182	99-56-10-000300_99-55-10-002074	99-56-10-000300	99-55-10-002074	reject
183	99-56-10-000384_99-55-35-000022	99-56-10-000384	99-55-35-000022	confirm
184	99-56-10-000418_99-55-10-000404	99-56-10-000418	99-55-10-000404	confirm
185	99-56-10-000466_99-55-10-000434	99-56-10-000466	99-55-10-000434	confirm
186	99-56-10-000473_99-55-10-000448	99-56-10-000473	99-55-10-000448	confirm
187	99-56-10-000495_99-55-10-000475	99-56-10-000495	99-55-10-000475	confirm
188	99-56-10-000497_99-55-10-000474	99-56-10-000497	99-55-10-000474	confirm
189	99-56-10-000499_99-55-10-000476	99-56-10-000499	99-55-10-000476	reject
190	99-56-10-000550_99-55-10-002682	99-56-10-000550	99-55-10-002682	confirm
191	99-56-10-000552_99-55-10-000520	99-56-10-000552	99-55-10-000520	confirm
192	99-56-10-000791_99-55-10-000747	99-56-10-000791	99-55-10-000747	confirm
193	99-56-10-000837_99-55-10-000790	99-56-10-000837	99-55-10-000790	confirm
194	99-56-10-000841_99-55-10-000794	99-56-10-000841	99-55-10-000794	confirm
195	99-56-10-000951_99-55-10-000888	99-56-10-000951	99-55-10-000888	confirm
196	99-56-10-000970_99-55-10-000899	99-56-10-000970	99-55-10-000899	confirm
197	99-56-10-001031_99-55-10-000950	99-56-10-001031	99-55-10-000950	confirm
198	99-56-10-001107_99-55-01-000100	99-56-10-001107	99-55-01-000100	confirm
199	99-56-10-001357_99-55-10-001247	99-56-10-001357	99-55-10-001247	confirm
200	99-56-10-001437_99-55-10-001328	99-56-10-001437	99-55-10-001328	confirm
201	99-56-10-001438_99-55-10-001329	99-56-10-001438	99-55-10-001329	confirm
202	99-56-10-001549_99-55-10-005875	99-56-10-001549	99-55-10-005875	confirm
203	99-56-10-001569_99-55-10-001453	99-56-10-001569	99-55-10-001453	confirm
204	99-56-10-001595_99-55-10-001468	99-56-10-001595	99-55-10-001468	confirm
205	99-56-10-001617_99-55-10-001495	99-56-10-001617	99-55-10-001495	confirm
206	99-56-10-001664_99-55-10-001541	99-56-10-001664	99-55-10-001541	confirm
207	99-56-10-001729_99-55-10-001606	99-56-10-001729	99-55-10-001606	confirm
208	99-56-10-001735_99-55-10-001608	99-56-10-001735	99-55-10-001608	confirm
209	99-56-10-001791_99-55-10-001658	99-56-10-001791	99-55-10-001658	confirm
210	99-56-10-001801_99-55-35-000096	99-56-10-001801	99-55-35-000096	confirm
211	99-56-10-001829_99-55-10-001675	99-56-10-001829	99-55-10-001675	confirm
212	99-56-10-001835_99-55-10-001681	99-56-10-001835	99-55-10-001681	confirm
213	99-56-10-001863_99-55-10-001711	99-56-10-001863	99-55-10-001711	confirm
214	99-56-10-001865_99-55-10-001712	99-56-10-001865	99-55-10-001712	confirm
215	99-56-10-001874_99-55-10-001715	99-56-10-001874	99-55-10-001715	confirm
216	99-56-10-001876_99-55-10-001717	99-56-10-001876	99-55-10-001717	confirm
217	99-56-10-001927_99-55-10-001781	99-56-10-001927	99-55-10-001781	confirm
218	99-56-10-001951_99-55-10-001792	99-56-10-001951	99-55-10-001792	confirm
219	99-56-10-001970_99-55-10-001812	99-56-10-001970	99-55-10-001812	confirm
220	99-56-10-002021_99-55-10-001861	99-56-10-002021	99-55-10-001861	confirm
221	99-56-10-002023_99-55-10-001863	99-56-10-002023	99-55-10-001863	confirm
222	99-56-10-002246_99-55-10-002011	99-56-10-002246	99-55-10-002011	confirm
223	99-56-10-002278_99-55-10-002042	99-56-10-002278	99-55-10-002042	confirm
224	99-56-10-002280_99-55-10-002053	99-56-10-002280	99-55-10-002053	confirm
225	99-56-10-002322_99-55-10-002089	99-56-10-002322	99-55-10-002089	confirm
226	99-56-10-002323_99-55-10-002090	99-56-10-002323	99-55-10-002090	confirm
227	99-56-10-002348_99-55-10-002106	99-56-10-002348	99-55-10-002106	confirm
228	99-56-10-002553_99-55-10-002299	99-56-10-002553	99-55-10-002299	confirm
229	99-56-10-002581_99-55-10-002331	99-56-10-002581	99-55-10-002331	confirm
230	99-56-10-002733_99-55-10-002469	99-56-10-002733	99-55-10-002469	confirm
231	99-56-10-002775_99-55-10-002502	99-56-10-002775	99-55-10-002502	confirm
232	99-56-10-002812_99-55-10-002543	99-56-10-002812	99-55-10-002543	confirm
233	99-56-10-002891_99-55-10-002619	99-56-10-002891	99-55-10-002619	confirm
234	99-56-10-002900_99-55-10-002628	99-56-10-002900	99-55-10-002628	confirm
235	99-56-10-003007_99-55-10-002725	99-56-10-003007	99-55-10-002725	confirm
236	99-56-10-003211_99-55-10-002913	99-56-10-003211	99-55-10-002913	confirm
237	99-56-10-003348_99-55-10-003025	99-56-10-003348	99-55-10-003025	confirm
238	99-56-10-003881_99-55-10-003465	99-56-10-003881	99-55-10-003465	confirm
239	99-56-10-004021_99-55-10-003603	99-56-10-004021	99-55-10-003603	confirm
240	99-56-13-000002_99-55-13-000002	99-56-13-000002	99-55-13-000002	confirm
241	99-56-13-000030_99-55-13-000030	99-56-13-000030	99-55-13-000030	confirm
242	99-56-13-000034_99-55-13-000034	99-56-13-000034	99-55-13-000034	confirm
243	99-56-13-000105_99-55-13-000100	99-56-13-000105	99-55-13-000100	confirm
244	99-56-13-000161_99-55-13-000156	99-56-13-000161	99-55-13-000156	confirm
245	99-56-13-000177_99-55-13-000172	99-56-13-000177	99-55-13-000172	confirm
246	99-56-13-000179_99-55-13-000174	99-56-13-000179	99-55-13-000174	confirm
247	99-56-13-000181_99-55-13-000176	99-56-13-000181	99-55-13-000176	confirm
248	99-56-13-000184_99-55-13-000179	99-56-13-000184	99-55-13-000179	confirm
249	99-56-13-000185_99-55-13-000180	99-56-13-000185	99-55-13-000180	confirm
250	99-56-13-000282_99-55-13-000276	99-56-13-000282	99-55-13-000276	confirm
251	99-56-13-000295_99-55-13-000290	99-56-13-000295	99-55-13-000290	confirm
252	99-56-14-000538_99-55-14-000531	99-56-14-000538	99-55-14-000531	confirm
253	99-56-14-000697_99-55-14-000672	99-56-14-000697	99-55-14-000672	confirm
254	99-56-14-000698_99-55-14-000673	99-56-14-000698	99-55-14-000673	confirm
255	99-56-14-000762_99-55-14-000731	99-56-14-000762	99-55-14-000731	confirm
256	99-56-14-000763_99-55-14-000732	99-56-14-000763	99-55-14-000732	confirm
257	99-56-14-000779_99-55-14-000749	99-56-14-000779	99-55-14-000749	confirm
258	99-56-15-000001_99-55-15-000001	99-56-15-000001	99-55-15-000001	confirm
259	99-56-28-000538_99-55-28-000599	99-56-28-000538	99-55-28-000599	confirm
260	99-56-28-000974_99-55-28-001075	99-56-28-000974	99-55-28-001075	confirm
261	99-56-28-001578_99-55-28-001713	99-56-28-001578	99-55-28-001713	confirm
262	99-56-28-001840_99-55-28-001996	99-56-28-001840	99-55-28-001996	confirm
263	99-56-28-002175_99-55-28-002370	99-56-28-002175	99-55-28-002370	confirm
264	99-56-28-002294_99-55-28-002486	99-56-28-002294	99-55-28-002486	confirm
265	99-56-28-002457_99-55-28-002711	99-56-28-002457	99-55-28-002711	confirm
266	99-49-01-000001_99-48-01-000001	99-49-01-000001	99-48-01-000001	confirm
267	99-49-01-000132_99-48-01-000138	99-49-01-000132	99-48-01-000138	confirm
268	99-49-10-000271_99-48-35-000017	99-49-10-000271	99-48-35-000017	confirm
269	99-49-10-000506_99-48-10-002748	99-49-10-000506	99-48-10-002748	confirm
270	99-49-10-000842_99-48-35-000030	99-49-10-000842	99-48-35-000030	confirm
271	99-49-01-000002_99-48-01-000002	99-49-01-000002	99-48-01-000002	confirm
272	65-44-01-000473_99-44-10-000814	65-44-01-000473	99-44-10-000814	reject
273	99-49-01-000012_99-48-10-000823	99-49-01-000012	99-48-10-000823	confirm
274	99-49-01-000017_99-48-10-000416	99-49-01-000017	99-48-10-000416	confirm
275	99-49-01-000050_99-48-14-000582	99-49-01-000050	99-48-14-000582	confirm
276	99-49-01-000100_99-48-10-001637	99-49-01-000100	99-48-10-001637	confirm
277	99-49-01-000144_99-48-22-000401	99-49-01-000144	99-48-22-000401	confirm
278	99-49-01-000175_99-48-28-001921	99-49-01-000175	99-48-28-001921	confirm
279	99-49-01-000182_99-48-10-003631	99-49-01-000182	99-48-10-003631	confirm
280	99-49-01-000207_99-48-14-000585	99-49-01-000207	99-48-14-000585	confirm
281	99-49-01-000359_99-48-10-006480	99-49-01-000359	99-48-10-006480	confirm
282	99-49-01-000537_99-48-28-001498	99-49-01-000537	99-48-28-001498	confirm
283	99-49-01-000540_99-48-28-001012	99-49-01-000540	99-48-28-001012	confirm
284	99-49-01-000663_99-48-22-000289	99-49-01-000663	99-48-22-000289	confirm
285	99-49-01-000674_99-48-10-005744	99-49-01-000674	99-48-10-005744	confirm
286	99-49-01-000708_99-48-22-000471	99-49-01-000708	99-48-22-000471	confirm
287	99-49-01-000718_99-48-22-000356	99-49-01-000718	99-48-22-000356	confirm
288	99-49-01-000820_99-48-22-000021	99-49-01-000820	99-48-22-000021	confirm
289	99-49-01-000826_99-48-10-001739	99-49-01-000826	99-48-10-001739	confirm
290	99-49-01-000883_99-48-22-000212	99-49-01-000883	99-48-22-000212	confirm
291	99-49-01-001252_99-48-10-001311	99-49-01-001252	99-48-10-001311	confirm
292	99-49-01-001281_99-48-28-000883	99-49-01-001281	99-48-28-000883	confirm
293	99-49-01-001295_99-48-01-001292	99-49-01-001295	99-48-01-001292	confirm
294	99-64-01-002484_99-63-01-001554	99-64-01-002484	99-63-01-001554	reject
295	99-49-01-001330_99-48-10-006088	99-49-01-001330	99-48-10-006088	confirm
296	99-49-01-001349_99-48-22-000664	99-49-01-001349	99-48-22-000664	confirm
297	99-49-01-001354_99-48-22-000497	99-49-01-001354	99-48-22-000497	confirm
298	99-49-01-001574_99-48-10-006004	99-49-01-001574	99-48-10-006004	confirm
299	99-49-01-001822_99-48-10-002664	99-49-01-001822	99-48-10-002664	confirm
300	99-49-01-001828_99-48-10-000727	99-49-01-001828	99-48-10-000727	confirm
301	99-49-01-001829_99-48-10-000854	99-49-01-001829	99-48-10-000854	confirm
302	99-49-10-000021_99-48-10-000021	99-49-10-000021	99-48-10-000021	confirm
303	99-49-10-000042_99-48-10-000040	99-49-10-000042	99-48-10-000040	confirm
304	99-49-10-000206_99-48-10-000200	99-49-10-000206	99-48-10-000200	confirm
305	99-49-10-000552_99-48-10-000532	99-49-10-000552	99-48-10-000532	confirm
306	99-49-10-000586_99-48-10-000547	99-49-10-000586	99-48-10-000547	confirm
307	99-49-10-000622_99-48-01-000038	99-49-10-000622	99-48-01-000038	confirm
308	99-49-10-000655_99-48-10-000633	99-49-10-000655	99-48-10-000633	confirm
309	99-49-10-000709_99-48-10-000691	99-49-10-000709	99-48-10-000691	confirm
310	99-49-10-000736_99-48-10-000720	99-49-10-000736	99-48-10-000720	confirm
311	99-49-10-000742_99-48-10-000726	99-49-10-000742	99-48-10-000726	confirm
312	99-49-10-000743_99-48-10-000725	99-49-10-000743	99-48-10-000725	confirm
313	99-49-10-000769_99-48-10-000742	99-49-10-000769	99-48-10-000742	confirm
314	99-49-10-000828_99-48-10-000817	99-49-10-000828	99-48-10-000817	confirm
315	99-49-10-000843_99-48-10-000823	99-49-10-000843	99-48-10-000823	confirm
316	99-49-10-000852_99-48-10-000833	99-49-10-000852	99-48-10-000833	confirm
317	99-49-10-000904_99-48-01-000159	99-49-10-000904	99-48-01-000159	confirm
318	99-49-10-000979_99-48-10-000956	99-49-10-000979	99-48-10-000956	confirm
319	99-49-10-001048_99-48-10-001013	99-49-10-001048	99-48-10-001013	confirm
320	99-49-10-001063_99-48-22-000091	99-49-10-001063	99-48-22-000091	confirm
321	65-49-01-001864_99-49-10-001063	65-49-01-001864	99-49-10-001063	reject
322	99-49-10-001222_99-48-10-001182	99-49-10-001222	99-48-10-001182	confirm
323	99-49-10-001223_99-48-10-001183	99-49-10-001223	99-48-10-001183	confirm
324	99-49-10-001249_99-48-10-005590	99-49-10-001249	99-48-10-005590	confirm
325	99-49-10-001300_99-48-10-001264	99-49-10-001300	99-48-10-001264	confirm
326	99-49-10-001335_99-48-10-001290	99-49-10-001335	99-48-10-001290	confirm
327	99-49-10-001350_99-48-01-000325	99-49-10-001350	99-48-01-000325	confirm
328	99-49-10-001405_99-48-10-001358	99-49-10-001405	99-48-10-001358	confirm
329	99-49-10-001518_99-48-10-001443	99-49-10-001518	99-48-10-001443	confirm
330	99-49-10-001618_99-48-01-000593	99-49-10-001618	99-48-01-000593	confirm
331	99-49-10-001709_99-48-10-001636	99-49-10-001709	99-48-10-001636	confirm
332	99-49-10-001860_99-48-10-001743	99-49-10-001860	99-48-10-001743	confirm
333	99-49-10-001955_99-48-28-001625	99-49-10-001955	99-48-28-001625	confirm
334	99-49-10-001957_99-48-10-001880	99-49-10-001957	99-48-10-001880	confirm
